instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
2,4,0.0,0.0,1.0,500,498
0,4,0.0,0.0,1.0,500,478
1,4,0.0,0.0,1.0,500,427
2,1,0.8,1.0,0.0,500,477
0,0,1.0,1.0,0.0,500,462
0,1,0.8,1.0,0.0,500,444
1,2,0.5,1.0,0.0,500,437
3,0,1.0,1.0,0.0,500,479
1,1,0.8,1.0,0.0,500,499
2,0,1.0,1.0,0.0,500,422
4,0,1.0,1.0,0.0,500,484
3,4,0.0,0.0,1.0,500,482
0,3,0.2,0.9783050847457627,0.02169491525423729,500,492
3,2,0.5,1.0,0.0,500,479
1,0,1.0,1.0,0.0,500,482
3,1,0.8,1.0,0.0,500,482
3,3,0.2,0.9831029185867896,0.016897081413210446,500,479
4,3,0.2,0.9936974789915967,0.0063025210084033615,500,497
4,2,0.5,1.0,0.0,500,497
2,3,0.2,1.0,0.0,500,492
2,2,0.5,1.0,0.0,500,497
0,2,0.5,1.0,0.0,500,497
1,3,0.2,0.9493506493506494,0.05064935064935065,500,499
4,1,0.8,1.0,0.0,500,497
7,4,0.0,0.0,1.0,500,493
5,0,1.0,1.0,0.0,500,452
6,4,0.0,0.0,1.0,500,497
4,4,0.0,0.0,1.0,500,483
5,1,0.8,1.0,0.0,500,479
6,1,0.8,1.0,0.0,500,482
5,4,0.0,0.0,1.0,500,499
8,4,0.0,0.0,1.0,500,477
5,3,0.2,1.0,0.0,500,432
5,2,0.5,1.0,0.0,500,489
7,0,1.0,1.0,0.0,500,497
6,2,0.5,1.0,0.0,500,459
8,2,0.5,1.0,0.0,500,499
7,3,0.2,0.9867158671586715,0.013284132841328414,500,439
7,1,0.8,1.0,0.0,500,482
6,3,0.2,0.9761560693641619,0.02384393063583815,500,497
8,0,1.0,1.0,0.0,500,462
8,1,0.8,1.0,0.0,500,459
8,3,0.2,0.999227202472952,0.0007727975270479134,500,494
7,2,0.5,1.0,0.0,500,494
6,0,1.0,1.0,0.0,500,497
9,1,0.8,1.0,0.0,500,492
9,2,0.5,1.0,0.0,500,497
9,0,1.0,1.0,0.0,500,497
9,4,0.0,0.0,1.0,500,433
9,3,0.2,0.9372846312887664,0.06271536871123363,500,472
